epoch,batch_idx,data_type,tot_loss,run_time
0,83,val,0.0704602599143982,0.011948823928833008
0,84,val,0.07713805884122849,0.007809877395629883
0,85,val,0.06090124696493149,0.010120630264282227
0,86,val,0.06355101615190506,0.015813112258911133
0,87,val,0.06687887758016586,0.011103630065917969
0,88,val,0.07424629479646683,0.010999679565429688
0,89,val,0.06354153156280518,0.012003421783447266
0,90,val,0.06053318828344345,0.01077723503112793
0,91,val,0.06879089772701263,0.011978626251220703
0,92,val,0.0638517290353775,0.004250288009643555
0,93,val,0.07184186577796936,0.017043113708496094
0,94,val,0.05986800417304039,0.012861490249633789
0,95,val,0.08840243518352509,0.011976242065429688
0,96,val,0.06953173875808716,0.010734319686889648
0,97,val,0.0635066032409668,0.01036834716796875
0,98,val,0.07762698829174042,0.015623331069946289
0,99,val,0.06330795586109161,0.012558937072753906
0,100,val,0.06947696208953857,0.01034688949584961
0,101,val,0.06577932089567184,0.01135396957397461
0,102,val,0.06371970474720001,0.009161949157714844
0,103,val,0.05268451198935509,0.014885425567626953
0,104,val,0.0629611611366272,0.010909080505371094
0,105,val,0.06946849822998047,0.010990142822265625
0,106,val,0.06206841394305229,0.008624076843261719
0,107,val,0.08052214235067368,0.013698101043701172
0,108,val,0.07889379560947418,0.013164281845092773
0,109,val,0.07324293255805969,0.006090879440307617
0,110,val,0.06618928164243698,0.016725540161132812
0,111,val,0.06142986938357353,0.011841773986816406
0,112,val,0.06113414093852043,0.010024309158325195
0,113,val,0.06665786355733871,0.011497259140014648
0,114,val,0.06539817899465561,0.011478185653686523
0,115,val,0.067270927131176,0.00956106185913086
0,116,val,0.07288594543933868,0.012423276901245117
0,117,val,0.06683307886123657,0.011131048202514648
0,118,val,0.06664841622114182,0.007383584976196289
0,119,val,0.06289957463741302,0.010570764541625977
0,120,val,0.06930771470069885,0.01898050308227539
0,121,val,0.06693201512098312,0.010999917984008789
0,122,val,0.0627133697271347,0.011522769927978516
0,123,val,0.07258996367454529,0.0074214935302734375
0,124,val,0.06977225840091705,0.009631156921386719
0,125,val,0.06264232099056244,0.017283916473388672
0,126,val,0.06003771349787712,0.012738943099975586
0,127,val,0.07631829380989075,0.012017011642456055
1,0,train,0.07352885603904724,0.2721896171569824
1,1,train,0.07549750804901123,0.29087185859680176
1,2,train,0.07266545295715332,0.287853479385376
